,,,,,,
IBEX 35® Skew,"4,31","6,42","4,31","4,31",24/10/2022,"-23,31"
IBEX 35® BuyWrite,"1.370,34","1,42","1.370,34","1.370,34",24/10/2022,"-3,40"
IBEX 35® PutWrite,"1.483,22","0,79","1.483,22","1.483,22",24/10/2022,"7,79"
IBEX 35® Protective Put,"568,90","1,31","568,90","568,90",24/10/2022,"-16,88"
IBEX 35® Venta de Strangle,"1.652,17","0,16","1.652,17","1.652,17",24/10/2022,"13,72"
"IBEX 35® TR Decrement 4,5%","7.735,40","1,48","7.744,00","7.616,50",25/10/2022,"-11,23"
IBEX 35® TR Decrement 5%,"7.703,80","1,48","7.712,40","7.585,50",25/10/2022,"-11,59"
IBEX 35® TR Decrement 400P,"7.712,50","1,47","7.721,10","7.594,00",25/10/2022,"-11,49"
IBEX 35® TR Decrement 450P,"7.673,50","1,47","7.682,00","7.555,60",25/10/2022,"-11,94"
IBEX TOP Dividendo® Rentabilidad,"6.928,60","0,74","6.929,80","6.856,50",25/10/2022,"-0,26"
IBEX TOP Dividendo® Rentabilidad Neta,"5.659,50","0,74","5.660,50","5.600,60",25/10/2022,"-1,05"
IBEX MEDIUM CAP® con Dividendos,"14.825,60","0,67","14.845,60","14.659,60",25/10/2022,"-6,61"
IBEX MEDIUM CAP® con Dividendos Netos,"13.660,50","0,67","13.678,90","13.507,40",25/10/2022,"-7,12"
IBEX SMALL CAP® con Dividendos,"10.195,50","1,06","10.203,60","10.080,10",25/10/2022,"-17,42"
IBEX SMALL CAP® con Dividendos Netos,"9.761,20","1,06","9.768,90","9.650,70",25/10/2022,"-17,74"
IBEX Growth Market® 15,"2.156,10","-0,22","2.165,50","2.140,80",25/10/2022,"-11,36"
IBEX Growth Market® All Share,"1.821,00","0,00","1.821,00","1.812,30",25/10/2022,"-8,23"
FTSE4Good IBEX,"8.322,40","1,31","8.331,80","8.196,50",25/10/2022,"-10,20"
FTSE4Good IBEX Total Return,"19.471,30","1,32","19.493,40","19.176,80",25/10/2022,"-7,33"
FTSE4Good IBEX Net Return,"17.081,80","1,32","17.101,20","16.823,40",25/10/2022,"-7,88"
FTSE Latibex All Share,"2.533,20","-2,06","2.588,40","2.533,20",25/10/2022,"21,31"
FTSE Latibex TOP,"5.779,20","-1,55","5.879,40","5.779,20",25/10/2022,"16,70"
FTSE Latibex BRASIL,"12.582,10","-2,49","12.938,70","12.582,10",25/10/2022,"18,57"
I.G.B.M.,"776,82","1,34","777,65","765,55",25/10/2022,"-9,86"
I.G.B.M. Total,"3.534,20","1,34","3.534,20","3.534,20",25/10/2022,"-6,90"
BCN GLOBAL 100 (Base 1986),"631,04","1,06","631,62","622,20",25/10/2022,"-5,05"
BCN GLOBAL 100 (Base 1963),"1.621,88","1,06","1.623,37","1.599,17",25/10/2022,"-5,04"
BCN MID 50,"20.867,31","0,74","20.880,64","20.680,04",25/10/2022,"-16,56"
BCN PROFIT-30,"10.299,14","0,69","10.318,11","10.172,02",25/10/2022,"-1,90"
BCN ROE-30,"14.918,73","1,13","14.920,81","14.714,50",25/10/2022,"-12,79"
BCN PER-30,"16.141,16","0,74","16.151,63","15.937,44",25/10/2022,"-4,23"
BCN INDEXCAT,"17.829,46","2,07","17.836,81","17.467,98",25/10/2022,"-21,38"
I.BILBAO 2000,"1.248,31","1,39","1.249,59","1.230,14",25/10/2022,"-10,67"
I.G.B.V.,"1.180,87","1,24","1.182,01","1.163,91",25/10/2022,"-5,48"
Índice TEF Apalancado X3,"143,00","-2,39","149,70","141,70",25/10/2022,"-43,07"
Índice SAN Apalancado X3,"177,90","1,60","185,30","168,20",25/10/2022,"-40,48"
Índice BBVA Apalancado X3,"391,80","2,38","399,50","370,50",25/10/2022,"-16,94"
Índice ITX Apalancado X3,"1.504,80","9,30","1.513,80","1.391,20",25/10/2022,"-53,50"
Índice TEF Apalancado X5,"75,00","-3,97","81,00","73,80",25/10/2022,"-68,55"
Índice SAN Apalancado X5,"240,20","2,65","256,70","218,50",25/10/2022,"-77,24"
Índice BBVA Apalancado X5,"128,30","3,97","132,40","116,80",25/10/2022,"-60,08"
Índice ITX Apalancado X5,"27,60","15,48","27,90","24,30",25/10/2022,"-82,02"
Índice TEF Inverso X3,"850,10","2,34","857,70","812,10",25/10/2022,"3,19"
Índice SAN Inverso X3,"22,20","-1,77","23,50","21,30",25/10/2022,"-48,97"
Índice BBVA Inverso X3,"12,50","-2,34","13,20","12,20",25/10/2022,"-63,77"
Índice ITX Inverso X3,"165,30","-9,33","180,30","164,10",25/10/2022,"-14,79"
Índice TEF Inverso X5,"8.254,30","3,89","8.375,60","7.648,20",25/10/2022,"-13,84"
Índice SAN Inverso X5,"693,60","-2,73","759,70","643,20",25/10/2022,"-82,32"
Índice BBVA Inverso X5,"717,30","-4,03","786,50","692,10",25/10/2022,"-89,82"
Índice ITX Inverso X5,"468,30","-15,58","544,60","462,30",25/10/2022,"-51,12"
